ObjektNr;BaustKanton;Kurzbeschreibung;BauartCode;Baubeginn;Bauende;GesuchVom;BewilligtAm;BaukostenVon;BaukostenBis;AnzGeb;AnzWhg;AnzEtagen;AnzUG;AnzPP;CRBCode01;CRBCode02;CRBCode03;CRBCode04;CRBCode05;CRBCode06;CRBCode07;CRBCode08;CRBCode09;CRBCode10
99927212;BE;Dachgeschossumbau bei Bauernhaus            ;3; ; ;25.01.2007; ;0.15;0.15;1;1;2;0;0;14;;;;;;;;;
99924444;BE;Neubau einer Park- und Rail-Anlage                      ;1; ; ;08.01.2007; ;1.35;1.35;0;0;0;0;123;175;;;;;;;;;
99924443;BE;Umbau/Umgestaltung einer Strasse                                 ;3; ; ;08.01.2007; ;0.15;0.15;0;0;0;0;0;211;;;;;;;;;
99924442;BE;Abbruch eines Bauernhauses;5; ; ;11.01.2007; ;0.03;0.03;1;0;0;0;0;14;;;;;;;;;
99924441;BE;Neubau von drei Einfamilienhäusern mit Garage und Autounterstand        ;1; ; ;11.01.2007; ;1.4;1.4;3;3;2;1;0;14;139;;;;;;;;
99924094;BE;Neubau Mehrfamilienhaus mit Zahnarztpraxis, Einstellhalle und Carport   ;1; ; ;09.01.2007; ;2.9;2.9;1;9;4;1;0;12;82;131;174;;;;;;
99911074;BE;Neubau Einfamilienhaus mit Carport;1;Mrz 07;Nov 07;11.10.2006;16.01.2007;0.575;0.575;1;1;2;1;0;14;174;;;;;;;;
99924092;BE;Neubau eines Milchviehstalles         ;1; ; ;11.01.2007; ;0.15;0.15;1;0;1;0;0;43;;;;;;;;;
99924089;BE;Erweiterung und Umbau Einfamilienhaus, Neubau Schwimmbecken             ;2; ; ;08.01.2007; ;0.6;0.6;1;1;2;0;0;14;173;;;;;;;;
99924087;BE;Abbruch von Schöpfen;5; ; ;08.01.2007; ;0.02;0.02;3;0;0;0;0;41;;;;;;;;;
99924086;BE;Neubau drei Mehrfamilienhäuser mit Einstellhalle und Velounterständen   ;1; ; ;08.01.2007; ;7.6;7.6;3;21;3;1;0;12;131;174;;;;;;;
99924142;BE;Neubau eines Einfamilienhauses mit Autounterstand;1; ; ;08.01.2007; ;0.65;0.65;1;1;3;0;0;14;174;;;;;;;;
99923070;BE;Neubau/Optimierung Antennenanlage;1; ; ;02.01.2007; ;0.07;0.07;0;0;0;0;0;631;;;;;;;;;
99920243;BE;Erweiterung und Umbau eines Stöcklis;2; ; ;05.12.2006;30.01.2007;0.32;0.32;1;1;2;0;0;14;;;;;;;;;
99923057;BE;Erweiterung und Umbau eines Mehrfamilienhauses;2; ; ;07.01.2007; ;0.3;0.3;1;3;0;0;0;12;;;;;;;;;
99914944;BE;Einbau Wohnung bei Bauernhaus;3;Apr 07;Sep 07;31.10.2006;07.01.2007;0.5;0.5;1;1;2;0;0;14;;;;;;;;;
99914941;BE;Neubau einer Werk- und Hobbyhalle;1; ; ;02.11.2006;04.01.2007;0.5;0.5;1;0;1;0;0;39;;;;;;;;;
